evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100448,51810,12,14,-11,-6979.768,17089.906,208479.5,0.0015584201,-0.0009165144,0.4725101
100448,51810,12,17,-11,-6966.463,17069.889,212760.5,0.0051782583,-0.006523602,1.5997559
100448,51810,12,18,-11,-6960.933,17059.541,214187.5,0.0015925459,-0.0059848656,1.5997559
100448,51810,12,20,-11,-6967.031,17044.182,217041.48,-0.0059164627,-0.006106777,2.1882105
100448,51810,12,21,11,-6975.1475,17035.336,218468.48,-0.010911262,-0.008589038,0.7376874
100448,51810,12,22,-11,-6986.768,17032.598,219895.5,-0.0047195004,-0.0028419187,0.9438693
100448,51810,12,23,-11,-6991.7656,17034.22,221322.5,-0.009171254,0.0038014571,0.9438693
100598,157084,3,17,11,-14891.085,16272.563,212760.5,-0.00359177,0.003012672,2.4192672
100598,157084,3,18,11,-14902.77,16278.918,214187.5,-0.0067965095,0.006977348,2.4192672
100598,157084,3,19,11,-14926.842,16282.998,215614.5,-0.02406135,0.005555695,2.4192672
100640,168698,4,17,-11,-16784.57,16878.766,212760.5,0.0044648554,-0.011353857,7.6361156
100640,168698,4,18,-11,-16781.916,16866.76,214187.5,-0.003825636,-0.011366133,7.6361156
100640,168698,4,19,-11,-16793.744,16845.6,215614.5,-0.013563041,-0.01671223,7.6361156
100640,168698,4,20,-11,-16812.984,16815.057,217041.48,-0.010546509,-0.029758053,7.6361156
100641,169134,3,17,-11,-2518.6519,26213.639,212760.5,-0.010493717,0.02135129,1.7887297
100641,169134,3,18,-11,-2526.614,26240.002,214187.5,-0.0019991205,0.013652259,1.7887297
100641,169134,3,20,11,-2517.03,26272.996,217041.48,0.012475591,0.011913708,0.7481257
100641,169170,3,17,-11,-2341.9314,26372.57,212760.5,0.0042352662,0.0023807553,1.1817279
100641,169170,3,18,-11,-2335.344,26368.008,214187.5,0.00176453,-0.0075837458,1.1817279
100641,169170,3,19,-11,-2324.952,26351.203,215614.5,0.010488673,-0.014206999,1.1817279
100706,149812,7,12,11,-5471.042,15624.768,205625.48,0.0011111251,-0.006813332,0.12599863
100706,149812,7,13,11,-5478.618,15616.206,207052.48,-0.00755414,-0.007054662,67.7847
100706,149812,7,14,11,-5489.506,15611.499,208479.5,-0.008324309,-0.004090467,67.7847
100706,149812,7,15,11,-5499.835,15608.464,209906.5,-0.0051514055,-0.001954322,67.7847
100706,149812,7,16,11,-5507.626,15607.154,211333.5,-0.0046140584,-0.00088647933,67.7847
100706,149812,7,17,11,-5516.9146,15603.267,212760.5,-0.011365978,-0.0015659168,67.7847
100706,149812,7,18,11,-5523.25,15598.469,214187.5,-0.0012652276,-0.007933306,67.7847
100706,187133,6,17,11,-5448.056,15605.996,212760.5,0.008261631,-0.00604936,0.6483742
100706,187133,6,18,-11,-5440.972,15596.299,214187.5,-0.005010257,-0.0027528256,0.4278962
100706,187133,6,20,-11,-5448.076,15597.75,217041.48,0.002889798,0.0021463241,1.5460678
100706,187133,6,21,-11,-5442.829,15599.474,218468.48,0.00701329,0.0039274506,1.5460678
100706,187133,6,22,-11,-5434.245,15610.622,219895.5,5.265454e-06,0.009537791,1.5460678
100706,187133,6,23,-11,-5417.2896,15629.586,221322.5,0.016754322,0.016354641,1.5460678
100803,212356,3,17,-11,-16692.398,28514.836,212760.5,0.006742583,0.0016949011,40.444958
100803,212356,3,18,-11,-16678.4,28520.674,214187.5,0.012726409,0.0031371207,40.444958
100803,212356,3,19,-11,-16663.402,28524.129,215614.5,0.008302556,0.005155553,40.444958
100803,212360,3,17,-11,-16691.74,28502.809,212760.5,0.008664149,-0.009528895,1.1331167
100803,212360,3,18,-11,-16679.271,28482.219,214187.5,0.011122564,-0.011922394,1.1331167
100803,212360,3,19,-11,-16672.082,28455.217,215614.5,-0.0018769754,-0.020641068,1.1331167
100803,212365,3,17,11,-16692.148,28506.215,212760.5,0.002688276,-0.009844332,2.0292842
