evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E,minPID,injectPID
100116.0,13220.0,3.0,8.0,11.0,-7204.0044,27449.004,199917.5,-0.0015658011,0.007367935,1.2100148,8.0,2.0
100116.0,18299.0,3.0,10.0,-11.0,-7180.4272,27435.559,202771.5,0.009686759,0.0033520043,35.274822,10.0,2.0
100116.0,18351.0,4.0,10.0,11.0,-7198.632,27442.607,202771.5,-0.0047424096,0.0067788847,0.5849055,10.0,2.0
100116.0,18357.0,6.0,12.0,-11.0,-7142.3735,27431.19,205625.48,0.007514824,1.2490886e-05,5.8805633,10.0,2.0
100116.0,18341.0,4.0,10.0,11.0,-7194.7744,27444.818,202771.5,0.0036907317,0.004303687,0.21669902,10.0,2.0
100116.0,18341.0,4.0,11.0,-11.0,-7193.186,27445.475,204198.5,-0.005149911,0.00457728,1.8135662,10.0,2.0
100116.0,18341.0,4.0,13.0,-11.0,-7202.699,27462.28,207052.48,-0.0014210144,0.002748037,2.1433492,10.0,2.0
100116.0,21380.0,3.0,11.0,-11.0,-7159.8994,27436.256,204198.5,0.0025938558,0.004719832,1.7312199,11.0,2.0
100116.0,25998.0,5.0,13.0,-11.0,-7186.5425,27441.186,207052.48,0.0027477941,0.0038499269,4.3749905,13.0,2.0
100116.0,25998.0,5.0,14.0,-11.0,-7183.4243,27448.479,208479.5,-0.00047404438,0.005940128,4.3749905,13.0,2.0
100116.0,25998.0,5.0,15.0,-11.0,-7180.726,27453.14,209906.5,0.0021705972,0.0057890257,8.546473,13.0,2.0
100116.0,30331.0,4.0,19.0,11.0,-7164.6504,27432.805,215614.5,0.003834806,-0.005710214,0.60370976,18.0,2.0
100116.0,21420.0,6.0,11.0,-11.0,-7188.7544,27439.14,204198.5,0.00018606444,0.004399725,4.3749905,11.0,2.0
100116.0,21420.0,6.0,12.0,-11.0,-7191.6367,27447.229,205625.48,0.0019167732,0.0046892753,6.857605,11.0,2.0
100116.0,21420.0,6.0,13.0,-11.0,-7187.658,27448.48,207052.48,0.003754579,-0.0024767348,6.857605,11.0,2.0
100116.0,21420.0,6.0,15.0,-11.0,-7176.8384,27445.314,209906.5,0.0019378379,0.0019698245,4.2763877,11.0,2.0
100116.0,21420.0,6.0,16.0,-11.0,-7175.2676,27446.275,211333.5,0.001457878,-0.0021213058,4.2763877,11.0,2.0
100116.0,21420.0,6.0,18.0,11.0,-7178.687,27438.287,214187.5,-0.006417743,-0.0013312282,1.730242,11.0,2.0
100116.0,7663.0,6.0,7.0,11.0,-7190.031,27429.559,198490.5,-0.00082394783,0.0025344838,0.4027292,6.0,2.0
100116.0,7663.0,6.0,10.0,-11.0,-7176.088,27440.475,202771.5,0.00607437,0.0045434255,7.438746,6.0,2.0
100116.0,7663.0,6.0,15.0,-11.0,-7187.9863,27462.443,209906.5,-0.0055644745,0.007660775,4.3749905,6.0,2.0
100116.0,27770.0,4.0,15.0,-11.0,-7164.785,27451.018,209906.5,0.0028779402,0.0049898936,3.0568628,14.0,2.0
100116.0,27770.0,4.0,17.0,-11.0,-7150.8945,27466.74,212760.5,0.0030748502,0.007631239,3.0568628,14.0,2.0
100116.0,27925.0,9.0,14.0,11.0,-7188.3965,27428.562,208479.5,0.0022965202,0.0040033413,4.285582,14.0,2.0
100116.0,27925.0,9.0,15.0,-11.0,-7185.42,27429.49,209906.5,0.004129164,-0.0009625686,5.31871,14.0,2.0
100116.0,27925.0,9.0,16.0,-11.0,-7180.0703,27433.232,211333.5,0.006858766,0.004411567,5.31871,14.0,2.0
100116.0,27925.0,9.0,17.0,-11.0,-7169.2056,27440.469,212760.5,0.006532391,0.0044805054,5.31871,14.0,2.0
100116.0,1953.0,11.0,3.0,-11.0,-7189.1553,27429.969,192782.5,0.00086879643,-0.0045582983,14.879477,3.0,2.0
100116.0,1953.0,11.0,5.0,-11.0,-7191.9277,27427.252,195636.48,-0.000395134,-0.0013476964,33.460983,3.0,2.0
100116.0,1953.0,11.0,8.0,-11.0,-7191.413,27422.76,199917.5,-0.0022415295,0.00053898856,4.2793756,3.0,2.0
100116.0,1953.0,11.0,9.0,-11.0,-7194.781,27421.307,201344.5,-0.0035624746,0.00032718337,4.2793756,3.0,2.0
100116.0,1953.0,11.0,10.0,-11.0,-7195.729,27418.127,202771.5,0.0018353568,-0.0017744851,4.2793756,3.0,2.0
100116.0,1953.0,11.0,11.0,-11.0,-7192.0024,27416.83,204198.5,0.0055489196,-0.002398416,4.2793756,3.0,2.0
100116.0,1953.0,11.0,12.0,-11.0,-7185.764,27413.6,205625.48,0.0061637107,-0.0024053229,4.2793756,3.0,2.0
100116.0,1953.0,11.0,13.0,-11.0,-7174.5864,27412.72,207052.48,0.0043086363,0.0016762281,4.2793756,3.0,2.0
100116.0,1953.0,11.0,14.0,-11.0,-7174.674,27419.73,208479.5,-0.00053587713,0.007933286,4.2793756,3.0,2.0
100116.0,1953.0,11.0,17.0,-11.0,-7184.6113,27458.479,212760.5,0.0013083125,0.007126536,0.3139704,3.0,2.0
